Geo_Point;Geo_Shape;LIBELLE_DU_GRAND_QUARTIER;Nombre_de_logements;P11_MAISON;P11_APPART;ANNEE
43.6022244026, 1.44055171361;"{""type"": ""Polygon"", ""coordinates"": [[[1.445654538605654, 43.600475682018], [1.44508596589854, 43.60045228340159], [1.444703670765758, 43.60042088592535], [1.443784005115295, 43.600369172451614], [1.442582383696922, 43.6001061281919], [1.442293002415302, 43.60004329105979], [1.441216647137927, 43.59976230171752], [1.440568083114643, 43.59960389908352], [1.437807836718713, 43.59910139126145], [1.437376975014189, 43.5999627271494], [1.436758945880903, 43.600370330130374], [1.436584167819144, 43.60030555110646], [1.436085706153033, 43.60064030078263], [1.435206496691976, 43.60101364952845], [1.434133467081927, 43.60128894247944], [1.435494490185119, 43.60315419892098], [1.435864326155098, 43.60366710422023], [1.436194315802769, 43.60388733772108], [1.436375754397747, 43.603942711983905], [1.438070179715442, 43.60433840383075], [1.438810521423038, 43.604457814166786], [1.439418481135618, 43.604462632786415], [1.439921347807707, 43.604529056940756], [1.440529665675806, 43.60459631658261], [1.441122031993357, 43.604686156161236], [1.441408057810336, 43.60471396507878], [1.441746277706264, 43.60473366415866], [1.442726690358831, 43.604819940156936], [1.442826804378204, 43.60482924574712], [1.443707729206854, 43.60495162317201], [1.44453752553604, 43.604923153694614], [1.445678652758383, 43.60488388275945], [1.4456709384186, 43.60426599999969], [1.445679050533501, 43.60372204374527], [1.445678739597694, 43.60348077557395], [1.44566959853868, 43.603133478818755], [1.44566764691986, 43.60300289201835], [1.445637228598714, 43.60251067088358], [1.445645356007181, 43.601441606648166], [1.445654538605654, 43.600475682018]]]}";CAPITOLE;5028.001;17.578228;4961.6865;2013
43.6033446246, 1.44816584645;"{""type"": ""Polygon"", ""coordinates"": [[[1.450118303519972, 43.60059397465921], [1.448199704521428, 43.60056664010443], [1.446999859124357, 43.60053261829984], [1.445654538605654, 43.600475682018], [1.445645356007181, 43.601441606648166], [1.445637228598714, 43.60251067088358], [1.44566764691986, 43.60300289201835], [1.44566959853868, 43.603133478818755], [1.445678739597694, 43.60348077557395], [1.445679050533501, 43.60372204374527], [1.4456709384186, 43.60426599999969], [1.445678652758383, 43.60488388275945], [1.445694190588565, 43.605762964364196], [1.445688642203492, 43.60613569436329], [1.445700820232158, 43.60697784372645], [1.445687142496639, 43.60772044663039], [1.44570082417511, 43.60785112050729], [1.445783104766833, 43.608270903776926], [1.445819579877789, 43.60844433348622], [1.44592256753684, 43.60834863737178], [1.446257931749413, 43.60803716057468], [1.446320140144835, 43.60796952617715], [1.446798168823747, 43.60752103629343], [1.447064084469439, 43.60723833919773], [1.447336009680614, 43.606989748928406], [1.447501183390691, 43.60682642156668], [1.448061431632624, 43.60627638722849], [1.448542390171981, 43.605804259252054], [1.448659853526676, 43.605697320685415], [1.448764152767095, 43.605600686357306], [1.448991258755874, 43.60538769495383], [1.449618850074849, 43.60477194947087], [1.449939785549055, 43.604465078476956], [1.450078391242315, 43.60433749246655], [1.450775673629746, 43.60367403462529], [1.450807375322692, 43.603643065210726], [1.451253333192171, 43.60324538945566], [1.451584816303458, 43.60284114662649], [1.451825542347887, 43.602410646625884], [1.451892122763374, 43.601694950982605], [1.451940745338753, 43.601224156753695], [1.451972457027554, 43.60084122527984], [1.452015514468977, 43.60039498540884], [1.451801377019247, 43.60043778431272], [1.45107682340444, 43.60057214655443], [1.450764898046011, 43.60062457994998], [1.450118303519972, 43.60059397465921]]]}";SAINT-GEORGES;3174.0005;14.103727;3155.5767;2013
43.596087197, 1.44140164967;"{""type"": ""Polygon"", ""coordinates"": [[[1.444207927585541, 43.5936029758755], [1.444473058595332, 43.593021305724626], [1.444605628296333, 43.59277352137814], [1.444384213703157, 43.592694189290604], [1.443547671690837, 43.59240186558929], [1.44272409590475, 43.592112472866106], [1.442523124331471, 43.592059796736756], [1.442257928799991, 43.59203594286789], [1.441856167338214, 43.59209142549666], [1.44146636345882, 43.59213092117538], [1.440870558743817, 43.59219243913551], [1.440345372852688, 43.59223180537276], [1.43997397063542, 43.5922591404093], [1.439547777257368, 43.59229455266164], [1.43526357799013, 43.59265506378779], [1.435753069699027, 43.59273843221533], [1.436079868236331, 43.59299364813974], [1.436201883790812, 43.593275618148326], [1.436502638304773, 43.593704715517624], [1.436699199108521, 43.593791428958475], [1.43730705941673, 43.59466007308865], [1.437281302878123, 43.59472798996049], [1.437392341094482, 43.59487552220844], [1.437540939407045, 43.59520879278421], [1.437585508230819, 43.59536147109128], [1.4377026035961, 43.595711523957725], [1.437798438965896, 43.59617777813467], [1.437922935199162, 43.596642372032356], [1.438029455837536, 43.597349975599066], [1.438021901848825, 43.59785230382974], [1.437841653792864, 43.5987572678704], [1.437773885319687, 43.59884850401967], [1.437807836718713, 43.59910139126145], [1.440568083114643, 43.59960389908352], [1.441216647137927, 43.59976230171752], [1.442293002415302, 43.60004329105979], [1.442582383696922, 43.6001061281919], [1.443784005115295, 43.600369172451614], [1.444703670765758, 43.60042088592535], [1.44508596589854, 43.60045228340159], [1.445654538605654, 43.600475682018], [1.445654037945159, 43.599898535707915], [1.445653573841019, 43.59949264510426], [1.445622035201607, 43.59925113536472], [1.44560837982336, 43.59894448280156], [1.445569535165298, 43.59849382259575], [1.445541380740702, 43.598024321022244], [1.44553798621307, 43.59781520150596], [1.445552810895598, 43.5973450916128], [1.445571445654589, 43.59670660483239], [1.445559608858898, 43.59645295043271], [1.445556610162893, 43.596304382484384], [1.445472892457272, 43.59545883559026], [1.445425602073653, 43.59531275928434], [1.44481830508196, 43.59492100949115], [1.443978356004109, 43.59433157735767], [1.443968133978041, 43.59423120609611], [1.444207927585541, 43.5936029758755]]]}";CARMES;4346.5005;18.990585;4295.6826;2013
43.6062858201, 1.42339702287;"{""type"": ""Polygon"", ""coordinates"": [[[1.434335658847749, 43.60376373717284], [1.434620328315725, 43.60362124786602], [1.434931245294167, 43.603465723507355], [1.435494490185119, 43.60315419892098], [1.434133467081927, 43.60128894247944], [1.432779536598253, 43.601629158967924], [1.432354517640184, 43.60166834221096], [1.431730629258259, 43.60159996647367], [1.431471718512567, 43.60150234042746], [1.430870968161322, 43.601625262327694], [1.427884965744409, 43.60218415693679], [1.427654893352998, 43.60224570142856], [1.42726139921401, 43.60243649855345], [1.426781837538324, 43.60263701030189], [1.426193147513471, 43.60282150164865], [1.425573477087433, 43.60298871709687], [1.42483058261936, 43.60312465396965], [1.424394399720405, 43.603211971869925], [1.423206086865586, 43.60344270986042], [1.422123675316296, 43.60364401771519], [1.420891558914766, 43.60375800269758], [1.420457612784036, 43.60378382031614], [1.419246225078018, 43.60407393665691], [1.419039128027747, 43.604164036670774], [1.418728009175675, 43.60432992675676], [1.4183270578662, 43.60449508519833], [1.417935609396018, 43.60463572146528], [1.417162820507027, 43.60502020604353], [1.415929837586498, 43.60561098101649], [1.415104530312541, 43.606021511933335], [1.414832693219686, 43.60617162635532], [1.414519675620994, 43.60637533575178], [1.414139399564126, 43.60663337077169], [1.413569828143315, 43.60700812879122], [1.413526193359081, 43.607135502132515], [1.411107470141731, 43.60861727374427], [1.413024730534175, 43.60942105676904], [1.413709446132075, 43.60977102708249], [1.414834777253997, 43.61042545649332], [1.415848815689989, 43.611206695144254], [1.416428199158313, 43.6117185310698], [1.417296161427842, 43.61268684745453], [1.417393055058324, 43.612651682484945], [1.417507020015477, 43.612608138772295], [1.417630775102039, 43.612520210186695], [1.4177464046182, 43.612367875613494], [1.417776340883808, 43.611945197250726], [1.41775650019, 43.61171133621239], [1.417819007275612, 43.61154154270258], [1.41793579774433, 43.611398681135285], [1.418136380748832, 43.61131042214086], [1.418546765984919, 43.61129672128299], [1.418741659525506, 43.610900922754695], [1.418704472933934, 43.61077857381291], [1.418872843440483, 43.610837647773856], [1.420035314937641, 43.610434547721255], [1.420925707516575, 43.610111552265366], [1.421903870325181, 43.609753305554584], [1.423672676137288, 43.60912042463543], [1.425628796264079, 43.6084123838097], [1.426947426720393, 43.60792342551897], [1.428280253549448, 43.607442136515886], [1.429946425145834, 43.606871729591376], [1.430463476514005, 43.606690422540936], [1.431551283857298, 43.606306479454986], [1.432834187638003, 43.60584933952942], [1.433739131151289, 43.60550175527452], [1.434563112233373, 43.605169609811675], [1.434674980265306, 43.604658642209245], [1.434592504363702, 43.60425777221578], [1.434335658847749, 43.60376373717284]]]}";AMIDONNIERS;4647.001;349.03488;4039.8977;2013
43.6025734884, 1.46613995386;"{""type"": ""Polygon"", ""coordinates"": [[[1.465347544231243, 43.606781583287756], [1.466205139421139, 43.60699065196966], [1.467166882748114, 43.607201452719885], [1.467410305247817, 43.607295098132184], [1.46758098238802, 43.60737683193337], [1.467955041175449, 43.60762001373894], [1.469952926105421, 43.60865997423321], [1.470669114611579, 43.60910635221287], [1.470684610893324, 43.60911498530347], [1.470728531425975, 43.60913897105826], [1.470790027198815, 43.60920850922094], [1.472413110641793, 43.60808082856227], [1.472729656991011, 43.60780035178188], [1.472976190052907, 43.607409589976136], [1.473229871586939, 43.606793703498916], [1.473289306805013, 43.60664466775738], [1.473729014363887, 43.6055893035211], [1.474421592073354, 43.60433244947041], [1.474521306046623, 43.604189393628715], [1.475321460995253, 43.60341492945131], [1.475559146172119, 43.60318398957241], [1.475798882403036, 43.60290008647692], [1.475961943727259, 43.602607079695574], [1.476082095050436, 43.60230996456435], [1.476151044657341, 43.601951904707505], [1.476135267788903, 43.60160077134634], [1.476128371806517, 43.60144650464999], [1.476010009895675, 43.60071614062355], [1.475049828202562, 43.600853595768655], [1.474683704615332, 43.600873518414744], [1.473864362137878, 43.600904172208296], [1.473839709632599, 43.60080842925167], [1.47415293692135, 43.600213805845605], [1.474485305486597, 43.5995549992044], [1.474506697883832, 43.59933566314299], [1.474513364973181, 43.59896388502683], [1.474336427639395, 43.59850461693812], [1.474125514385216, 43.59796466491038], [1.473756390726554, 43.5981037734248], [1.473264163567047, 43.59829302593727], [1.472691966685476, 43.59852046244123], [1.472110719058061, 43.598743096629164], [1.471921241887312, 43.59879179423635], [1.471499040608446, 43.598819794211984], [1.470656437814308, 43.59884079008155], [1.470444137483995, 43.59884673395061], [1.469955396829695, 43.59888462122581], [1.469487076755003, 43.598950103245386], [1.468929763582846, 43.599048014156224], [1.468479650353464, 43.5991145782739], [1.468076479181703, 43.59917582629792], [1.46691802218471, 43.59934102133912], [1.466400035958267, 43.59941935183164], [1.466041908916444, 43.59951689082962], [1.465802647785541, 43.59958695224563], [1.466047777191344, 43.59848849866308], [1.465404536755042, 43.598407860616035], [1.464741768854375, 43.598327067918056], [1.463226434716259, 43.59832579593119], [1.463314066711002, 43.59785246670295], [1.461747744906441, 43.59777792643175], [1.461419027020848, 43.596578542294964], [1.459102146207995, 43.59744145055098], [1.458941254886504, 43.5974931838594], [1.458632217516037, 43.59761662267651], [1.458279588711783, 43.59778229703041], [1.458190452098421, 43.59782323791941], [1.457969036628918, 43.59791897360146], [1.457715049191647, 43.59801634336162], [1.456654866432097, 43.59840264257884], [1.456627023751755, 43.59861341323057], [1.456641746525794, 43.599647639306355], [1.456656559242019, 43.60014447465145], [1.456650077823899, 43.60093822587058], [1.45683378141962, 43.6011941619142], [1.457145125185992, 43.60206606959252], [1.457190351395305, 43.60235499022873], [1.457213884180599, 43.60261346198515], [1.457238402114794, 43.60289371050877], [1.457262788377454, 43.60459882039998], [1.457180438819401, 43.60515166487149], [1.457707323995602, 43.60526929061615], [1.457913795886917, 43.60530589853087], [1.458553643210472, 43.60544521468063], [1.458818535725054, 43.60549362802887], [1.46034722636161, 43.60575051183828], [1.461172722686223, 43.60592720080405], [1.462533991749188, 43.60623763843613], [1.46332064853934, 43.606310886744176], [1.465347544231243, 43.606781583287756]]]}";GUILHEMERY;7832.5015;1854.5009;5952.22;2013
43.58265194, 1.4692933284;"{""type"": ""Polygon"", ""coordinates"": [[[1.460863354569429, 43.5876816189893], [1.460954502311921, 43.58794629454073], [1.460897860966744, 43.58834701036304], [1.460713181798622, 43.58931347048647], [1.460556575748417, 43.59031798701852], [1.460457956420242, 43.59065215324348], [1.460424988135965, 43.59077016333756], [1.460293322255338, 43.59096120618925], [1.460097037823329, 43.59112052976421], [1.459725943034267, 43.59139392513284], [1.459580950069765, 43.59151674134866], [1.459700692552801, 43.59240513593358], [1.459914393609553, 43.59292242658777], [1.460080613250666, 43.5925954124654], [1.460213788559321, 43.59230125339841], [1.460406571454734, 43.591848603605], [1.460782568961333, 43.5918619209314], [1.461111645038618, 43.59187960090024], [1.461267832120436, 43.59188080845953], [1.461371956799594, 43.59188161518672], [1.461448962497437, 43.59186802108687], [1.461552409030862, 43.59182624450644], [1.461682312492075, 43.591755343109526], [1.461977235909637, 43.59161570260869], [1.46218694321947, 43.59151797825011], [1.46255914443918, 43.591345819830195], [1.462822242243881, 43.59124566840414], [1.463064172416734, 43.59116995603491], [1.463253616733736, 43.59112221507762], [1.463462672178342, 43.59106800719417], [1.46372140422722, 43.590999991695995], [1.464208327820271, 43.59081546497048], [1.464395527854738, 43.59074310660297], [1.465863454342013, 43.590322030809126], [1.465846685627336, 43.59022161282045], [1.465335924269384, 43.589274398391396], [1.465191150163471, 43.589026342062546], [1.464880040389617, 43.58867104363358], [1.464543870915669, 43.58824837599764], [1.464999740821133, 43.588049415423676], [1.46609382595324, 43.58755355148253], [1.466579901341995, 43.58733494984716], [1.467236164873411, 43.587049531711514], [1.468195065737385, 43.586627351011266], [1.468610009815621, 43.58700425294789], [1.469173792003289, 43.58663295926675], [1.468875865068025, 43.58635440909623], [1.469559008083974, 43.585918748417555], [1.469695439308449, 43.585934936167774], [1.471286644198092, 43.587326558213505], [1.469945645987736, 43.588158348419114], [1.470611763270511, 43.58871881987083], [1.471109613954145, 43.58912473163379], [1.4713205191749, 43.58930231907585], [1.471743065219984, 43.58897630121948], [1.472005740846043, 43.58881368159305], [1.472699443739589, 43.58836861999496], [1.473514485245899, 43.587632132721794], [1.473918435865401, 43.58724067864658], [1.474284843848158, 43.5869246241978], [1.474469851313226, 43.58673208172669], [1.474829906715609, 43.58640462653757], [1.475167211534848, 43.586029686479215], [1.475423011184317, 43.58580078365344], [1.47604297477938, 43.58523025167669], [1.476266571637096, 43.58506827169879], [1.476533490879643, 43.58488013177732], [1.477091276643153, 43.584558899954665], [1.477922133951101, 43.583982394897866], [1.478507632324627, 43.58345227461003], [1.478726622605469, 43.58324768228242], [1.479036312231127, 43.58298038435569], [1.479667748944944, 43.5823304475636], [1.480238821946295, 43.58189671675302], [1.481060519392909, 43.58131916983676], [1.481360010021141, 43.581126534274006], [1.481949802153415, 43.580656035269165], [1.482337128654029, 43.58032687322771], [1.482582675322602, 43.580083677475464], [1.482878593610803, 43.57986735870466], [1.483187059272774, 43.57968329697317], [1.483364586859891, 43.57955501796333], [1.483771901386137, 43.57919288298483], [1.483995152406164, 43.57896087478731], [1.483956706225247, 43.578827182731004], [1.483814087255654, 43.57888098270374], [1.483017779624446, 43.57914272888256], [1.482237207235069, 43.57939608026041], [1.481228145515279, 43.579700680966994], [1.480091825159341, 43.58007526551694], [1.478955622219156, 43.580440377849904], [1.478510988408581, 43.58058933455115], [1.478027214712359, 43.5807446151411], [1.476821753765182, 43.5811281044995], [1.475798482738566, 43.581511076116584], [1.475167503814652, 43.5808619669432], [1.47490090043965, 43.58057799519796], [1.474746249755161, 43.580381916440466], [1.474746569742136, 43.580360156922815], [1.47452011330652, 43.57999890522662], [1.474392758148652, 43.579715042559336], [1.474157705064214, 43.579138958504636], [1.473767909808554, 43.57927506896841], [1.473254289366805, 43.57951524631376], [1.472181553585744, 43.57863946460113], [1.471256773540257, 43.57788307201063], [1.470851347962004, 43.5773917703401], [1.469995787485905, 43.5767115841436], [1.470642755128704, 43.576339976537014], [1.471549753795158, 43.57580383762634], [1.472398291939521, 43.575260624719625], [1.474622324281864, 43.57336262963717], [1.475713121956785, 43.57225734436575], [1.475545892392563, 43.57221349525413], [1.475431948747554, 43.572083960106234], [1.475422891241161, 43.57199022590108], [1.475502151089271, 43.57190756945139], [1.475088866515714, 43.571509890048176], [1.472965610639339, 43.57274258650305], [1.471952101813443, 43.57335929134141], [1.471243761554919, 43.5737484129456], [1.470738042034154, 43.57398391162819], [1.47019150195414, 43.57416233480919], [1.469671758878419, 43.57428796832732], [1.469609414362705, 43.57401027952493], [1.469836862802983, 43.57358153657258], [1.470104132629358, 43.572918457550884], [1.470219255991662, 43.57251723751559], [1.470255554985584, 43.57099993215312], [1.470293471306609, 43.57071827350019], [1.470333474675587, 43.57047164441688], [1.470454396812468, 43.570209544409785], [1.47005138102383, 43.57009387209665], [1.469888325942308, 43.57048053681672], [1.469843808083173, 43.57103840792764], [1.469752267772031, 43.57259502639798], [1.469632765185933, 43.57311826147276], [1.469275046152645, 43.573915940180754], [1.469222747852387, 43.574022452212326], [1.468931665036693, 43.57435231063432], [1.46883748990479, 43.57447553559036], [1.468042505718545, 43.57500399562825], [1.467432319286452, 43.57526233402255], [1.466846457777359, 43.57554829158491], [1.466389749860007, 43.57590146872489], [1.466114734552343, 43.576199277697626], [1.46594208936329, 43.57652625397307], [1.465846694158347, 43.57691059355535], [1.465783600382052, 43.57793665211352], [1.465634931102572, 43.578403840068184], [1.465518953387981, 43.578682055160904], [1.465361136431386, 43.57906307350828], [1.465138395063869, 43.57943318687884], [1.464889640584895, 43.57971416031926], [1.46452551074223, 43.580051963672034], [1.463531461239173, 43.58092513955664], [1.462885327426609, 43.58158906232573], [1.462640875368201, 43.58166286638847], [1.462735738617976, 43.58185092980397], [1.462277322913656, 43.582671464090915], [1.461950123012485, 43.58332933392289], [1.461552065092614, 43.58411532543147], [1.461359790398551, 43.58453581028765], [1.460938409305414, 43.5855799134341], [1.460736832453341, 43.58610155763961], [1.460558622459445, 43.58653823431937], [1.460411010755856, 43.586929732537364], [1.460259896211203, 43.58747069729459], [1.460126263635019, 43.587619145109954], [1.460249490607824, 43.587647539467206], [1.460863354569429, 43.5876816189893]]]}";PONT-DES-DEMOISELLES;5632.001;1493.4498;4092.5212;2013
43.5791097556, 1.45915760009;"{""type"": ""Polygon"", ""coordinates"": [[[1.454988421766389, 43.57634874293069], [1.454486336899817, 43.576861414073576], [1.454258346617953, 43.57696654975788], [1.454113334651505, 43.57700421035672], [1.453917298659236, 43.57697240272349], [1.453773069015562, 43.57695708826341], [1.453620486759239, 43.57697860299198], [1.453211128076492, 43.57711543904326], [1.452007491867042, 43.577545039954444], [1.450359846319768, 43.57807712000602], [1.450240364750313, 43.57841111338713], [1.449879089224332, 43.57934116025484], [1.450582241975983, 43.57975444697806], [1.451818185030898, 43.58075092867787], [1.452477550031, 43.581399443867355], [1.453070952023397, 43.582108940115596], [1.455037606297623, 43.584661782230576], [1.455863995005128, 43.585639886805], [1.455907534267748, 43.58577646789887], [1.457322822403312, 43.58636366068567], [1.457915492113669, 43.586599115749195], [1.459420131880416, 43.58722008761627], [1.459917955004662, 43.58744439325988], [1.460126263635019, 43.587619145109954], [1.460259896211203, 43.58747069729459], [1.460411010755856, 43.586929732537364], [1.460558622459445, 43.58653823431937], [1.460736832453341, 43.58610155763961], [1.460938409305414, 43.5855799134341], [1.461359790398551, 43.58453581028765], [1.461552065092614, 43.58411532543147], [1.461950123012485, 43.58332933392289], [1.462277322913656, 43.582671464090915], [1.462735738617976, 43.58185092980397], [1.462640875368201, 43.58166286638847], [1.462885327426609, 43.58158906232573], [1.463531461239173, 43.58092513955664], [1.46452551074223, 43.580051963672034], [1.464889640584895, 43.57971416031926], [1.465138395063869, 43.57943318687884], [1.465361136431386, 43.57906307350828], [1.465518953387981, 43.578682055160904], [1.465634931102572, 43.578403840068184], [1.465783600382052, 43.57793665211352], [1.465846694158347, 43.57691059355535], [1.46594208936329, 43.57652625397307], [1.466114734552343, 43.576199277697626], [1.466389749860007, 43.57590146872489], [1.466846457777359, 43.57554829158491], [1.467432319286452, 43.57526233402255], [1.468042505718545, 43.57500399562825], [1.46883748990479, 43.57447553559036], [1.468931665036693, 43.57435231063432], [1.468157379850784, 43.57435205175824], [1.467636603232343, 43.57427993021263], [1.467124281402128, 43.57416246252358], [1.466729158103782, 43.57404021594563], [1.466133129855788, 43.573773554347355], [1.465554020850862, 43.573418087303274], [1.464480841159373, 43.57276645934198], [1.463798563569183, 43.572437626477594], [1.462975613941218, 43.57220704371933], [1.461944558467661, 43.57205905018889], [1.461521342713881, 43.57207943651878], [1.461115494832022, 43.57233647606789], [1.460164668603495, 43.572928965179926], [1.458424559536067, 43.5740110860594], [1.457544532180062, 43.57438743406966], [1.4573139150731, 43.57449539515534], [1.456470587377456, 43.57485309913688], [1.455963824350738, 43.575331681688965], [1.455896504625221, 43.57539549404786], [1.454988421766389, 43.57634874293069]]]}";SAUZELONG - RANGUEIL;6191.501;1366.7474;4810.508;2013
43.5822089193, 1.41005098694;"{""type"": ""Polygon"", ""coordinates"": [[[1.40658045337923, 43.583751776431235], [1.407177730335527, 43.584011191215716], [1.407348779166122, 43.58414316351174], [1.40754794621479, 43.5842252187595], [1.407815472991609, 43.58426336585409], [1.408060495365457, 43.584493395264005], [1.408443301310605, 43.5846516990408], [1.408965810821064, 43.584781819481385], [1.410019234117397, 43.585004268648134], [1.409719829702067, 43.58576250666776], [1.409929147456746, 43.58586167305165], [1.411504275910746, 43.58643655768388], [1.411642515194876, 43.58641971093189], [1.412005698543281, 43.58540748177929], [1.412741235461208, 43.585565813223965], [1.413544340227996, 43.58581741558303], [1.414371132837471, 43.586136373396826], [1.416110168584952, 43.58494610312368], [1.415582826496535, 43.58436846003367], [1.414796775868401, 43.58326549273394], [1.413867090352506, 43.58185764974316], [1.413419799199459, 43.58132416738495], [1.412996620984473, 43.58083156319258], [1.412320443495551, 43.580036022485466], [1.412233528466921, 43.57993313083887], [1.412041213439473, 43.57974517402086], [1.41114206214973, 43.5791474372382], [1.409953719111431, 43.57848394236756], [1.408867169776594, 43.57797169891593], [1.408355604711361, 43.57772718729753], [1.407711959972044, 43.57710502457672], [1.405717780442963, 43.58022507360431], [1.404384093316064, 43.582291806339384], [1.404306773979051, 43.582409433489126], [1.404654350849411, 43.58257124497974], [1.404966470515101, 43.582587064171044], [1.405694391255916, 43.583148431623286], [1.40658045337923, 43.583751776431235]]]}";BAGATELLE;2343.5005;268.01666;2075.4836;2013
43.5910945372, 1.41897810436;"{""type"": ""Polygon"", ""coordinates"": [[[1.419191660638141, 43.59397449781864], [1.419199574174437, 43.5940530871898], [1.420010229542024, 43.593990587880235], [1.420977638146528, 43.593807294941946], [1.421772107367246, 43.593526094526794], [1.422366758085734, 43.593202592990075], [1.422943792808462, 43.59266795278849], [1.423389679089229, 43.592111441348585], [1.423706335247094, 43.591151784699505], [1.423664563060776, 43.590392652365566], [1.42335996370532, 43.59022272748908], [1.422620212024151, 43.58982316818312], [1.421929731361639, 43.58943630164128], [1.42114462256768, 43.58868534982914], [1.420928337917208, 43.588444231793105], [1.418124439308137, 43.587607844192505], [1.417393146295446, 43.587424039345436], [1.415921564769729, 43.59009246764651], [1.415175871374116, 43.58982810722695], [1.414779011344044, 43.590577994656364], [1.414476450021684, 43.59120565941341], [1.414313525521438, 43.59155628925385], [1.414254829599508, 43.592154712736786], [1.414166017677882, 43.59284845057543], [1.414148013478497, 43.59300252271976], [1.414276212312683, 43.59296193472406], [1.416338486970152, 43.59319538244968], [1.416448335759217, 43.59333157153762], [1.417430428684823, 43.59363285136204], [1.418748406718027, 43.59393305833226], [1.41914233559039, 43.59396557907508], [1.419191660638141, 43.59397449781864]]]}";ARENES;3015.5005;292.93542;2686.7007;2013
43.6003944758, 1.40936334348;"{""type"": ""Polygon"", ""coordinates"": [[[1.420064939108989, 43.59814737606025], [1.419896192163498, 43.59786028108349], [1.419784397294394, 43.59759540334883], [1.419678571554804, 43.59694077479328], [1.419572702389983, 43.596289926146994], [1.419551544922321, 43.595971850542014], [1.419512090316043, 43.595827722451006], [1.419250856632245, 43.59571585581333], [1.416239198076839, 43.59516252415626], [1.415630415684948, 43.595048773161594], [1.40783558365121, 43.593607531474845], [1.401971775332661, 43.595399505926316], [1.399931335331287, 43.59601466168641], [1.3984305872462, 43.596248229053124], [1.397020690054909, 43.59624978108988], [1.396992130967155, 43.59740382976513], [1.397023687186842, 43.59771537105841], [1.397159688692791, 43.5985878867304], [1.397453981164171, 43.599577141896226], [1.397803050338535, 43.60039560553456], [1.39840764528033, 43.601358104725364], [1.399066989829553, 43.60215169941933], [1.400084314456656, 43.60311665432863], [1.400952893941529, 43.603770990512245], [1.401625877548926, 43.60419568675179], [1.402128696220427, 43.604513009719895], [1.4029496344676, 43.60496919306219], [1.403408497650643, 43.6051839625173], [1.404436213371674, 43.605656981801445], [1.405426663968233, 43.60609940467851], [1.406938287423818, 43.60677127755835], [1.407679256989919, 43.60709904494016], [1.408051687458178, 43.607263887950815], [1.408982817684838, 43.60767268127403], [1.411107470141731, 43.60861727374427], [1.413526193359081, 43.607135502132515], [1.413569828143315, 43.60700812879122], [1.414139399564126, 43.60663337077169], [1.414519675620994, 43.60637533575178], [1.414832693219686, 43.60617162635532], [1.415104530312541, 43.606021511933335], [1.415929837586498, 43.60561098101649], [1.417162820507027, 43.60502020604353], [1.417935609396018, 43.60463572146528], [1.4183270578662, 43.60449508519833], [1.418728009175675, 43.60432992675676], [1.419039128027747, 43.604164036670774], [1.419246225078018, 43.60407393665691], [1.420457612784036, 43.60378382031614], [1.420441775215625, 43.60337307581904], [1.420405149415447, 43.60261965417003], [1.420266746091617, 43.60060800391584], [1.420064939108989, 43.59814737606025]]]}";CASSELARDIT;7121.5015;979.4296;6117.9023;2013
