Geo_Point;Geo_Shape;NOM;NUM;RUE;CP
43.5983095754, 1.47283628863;{"type": "Point", "coordinates": [1.47283628863158, 43.59830957541277]};CRECHE AND DO;92;bld Deltour;31500
43.5941314222, 1.42656833536;{"type": "Point", "coordinates": [1.426568335363302, 43.59413142221428]};PATTE D'OIE;87;rue de Cugnaux;31300
43.5737791936, 1.40257939684;{"type": "Point", "coordinates": [1.402579396842909, 43.57377919362607]};DIDIER DAURAT;23;rue Jean Gilles;31100
43.6349898886, 1.48553677414;{"type": "Point", "coordinates": [1.485536774141834, 43.634989888602426]};O' P'TITS BONHEURS;16;rue Théron de Montauge;31200
43.6039969947, 1.41220742372;{"type": "Point", "coordinates": [1.412207423718431, 43.603996994655795]};BOURRASSOL;60;rue Antonio Vivaldi;31300
43.6037886789, 1.45328680359;{"type": "Point", "coordinates": [1.453286803594426, 43.60378867890665]};SAINT AUBIN;8;impasse Saint-Aubin;31000
43.6259054311, 1.43851528426;{"type": "Point", "coordinates": [1.438515284264359, 43.62590543109178]};MINI MOMES;100;BD PIERRE ET MARIE CURIE;31200
43.5793985214, 1.41129935162;{"type": "Point", "coordinates": [1.411299351616008, 43.57939852138159]};BAGATELLE FAOURETTE;117;rue Henri Desbals;31100
43.5914324381, 1.45646659889;{"type": "Point", "coordinates": [1.456466598889017, 43.59143243808361]};AUX PLAISIRS DES BAMBINS;31;rue des Martyrs de la Libération;31400
43.5641307198, 1.38748078853;{"type": "Point", "coordinates": [1.387480788532139, 43.56413071976337]};BEBEBIZ mini pouss';11;rue Paulin Talabot;31100
43.6083255012, 1.44461371159;{"type": "Point", "coordinates": [1.444613711594216, 43.608325501167464]};LES P'TITS LOUPS;17;rue Bellegarde;31000
43.5856322805, 1.47566756327;{"type": "Point", "coordinates": [1.475667563266696, 43.585632280468865]};COMME UNE IMAGE;229;av Jean Rieux;31500
43.5918589906, 1.4684555631;{"type": "Point", "coordinates": [1.468455563095993, 43.591858990559956]};CENTRE JEAN RIEUX;157;avenue Jean Rieux;31500
43.5795635275, 1.42587911615;{"type": "Point", "coordinates": [1.425879116154882, 43.57956352745615]};CROIX DE PIERRE;7;rue d'Ox;31300
43.5794204942, 1.41139229434;{"type": "Point", "coordinates": [1.41139229434136, 43.57942049420389]};HENRI DESBALS;117;rue Henri Desbals;31100
43.633353828, 1.43509946154;{"type": "Point", "coordinates": [1.435099461540968, 43.63335382799429]};GRAINES DE BAMBINS;6t;rue Paul Verlaine;31200
43.5833833372, 1.48344150468;{"type": "Point", "coordinates": [1.483441504676652, 43.58338333722844]};LA TERRASSE;15;impasse Schrader;31500
43.6462876946, 1.43311532408;{"type": "Point", "coordinates": [1.433115324080316, 43.646287694620426]};LALANDOUNETTE;215;avenue de Fronton;31200
43.5777523057, 1.48672589331;{"type": "Point", "coordinates": [1.48672589330933, 43.577752305704465]};LE PETIT PRINCE;10bis;Chemin Bitet;31400
43.6183854639, 1.46113669518;{"type": "Point", "coordinates": [1.461136695177028, 43.61838546391805]};LOU PITCHOUN;7;ch Maurice;31500
43.6207256267, 1.43587672675;{"type": "Point", "coordinates": [1.435876726747513, 43.62072562673654]};MINIMES;94;avenue des Minimes;31200
43.6206905211, 1.43589354368;{"type": "Point", "coordinates": [1.435893543680153, 43.62069052105502]};MINIMES;94;avenue des Minimes;31200
43.5760848247, 1.48320788508;{"type": "Point", "coordinates": [1.483207885076198, 43.57608482466464]};MONTAUDRAN;2;impasse Laurent Guerrero;31400
43.5653536298, 1.40215000448;{"type": "Point", "coordinates": [1.402150004476006, 43.56535362975627]};NOUGARO;3;imp. F. Foulquier;31100
43.6152721087, 1.45611668776;{"type": "Point", "coordinates": [1.456116687755085, 43.61527210872287]};LES PETITS DEGOURDIS;27;rue de Périole;31500
43.6475503754, 1.41242530103;{"type": "Point", "coordinates": [1.412425301026703, 43.64755037542868]};PICAREL;26;allées Reinhardt;31200
43.549885311, 1.45781842612;{"type": "Point", "coordinates": [1.457818426124917, 43.549885311035304]};BULLES D'O ET LES BIDIBULLES;1;ch des Clôtasses;31400
43.5748669655, 1.46395051066;{"type": "Point", "coordinates": [1.463950510659729, 43.574866965521394]};RANGUEIL;19;rue Claude Forbin;31400
43.5586286432, 1.45376855506;{"type": "Point", "coordinates": [1.453768555055247, 43.55862864315542]};RANGUEIL;1;av du docteur J Poulhes;31400
43.6374783872, 1.46489062795;{"type": "Point", "coordinates": [1.464890627947835, 43.637478387157714]};RIRE ET CHANSON;140;route d'Albi;31200
43.5812395006, 1.40001126381;{"type": "Point", "coordinates": [1.400011263808117, 43.58123950057108]};UNIVERSITE REYNERIE;14;chemin du Mirail;31100
43.5615658594, 1.46302899901;{"type": "Point", "coordinates": [1.463028999010118, 43.56156585944988]};UPSI MOMES;118;rte de Narbonne;31400
43.6156634939, 1.43675587881;{"type": "Point", "coordinates": [1.43675587880729, 43.61566349386586]};CONSEIL DEPARTEMENTAL;1;bld de la Marquette;31000
43.588028649, 1.41397359522;{"type": "Point", "coordinates": [1.413973595224582, 43.58802864902359]};L'ENFANFARE;24;rue Descoins Tinard;31300
43.6151450026, 1.39612499899;{"type": "Point", "coordinates": [1.396124998992405, 43.61514500258964]};LE CERCLE DES GENTILS GLADIATEURS;109;av des Arènes Romaines;31300
43.5735756553, 1.38220637896;{"type": "Point", "coordinates": [1.382206378956098, 43.5735756552661]};BABILOU WOODPARC;4;rue Claude-Marie Perroud;31100
43.6410719093, 1.45467909607;{"type": "Point", "coordinates": [1.454679096067384, 43.6410719093293]};DANIELLE MITTERRAND;5;rue Antoine Pastre;31200
43.615212195, 1.44123400517;{"type": "Point", "coordinates": [1.441234005166572, 43.61521219497282]};LA COURTE ECHELLE;45B;bd Matabiau;31000
43.5782608632, 1.44347017442;{"type": "Point", "coordinates": [1.443470174424681, 43.57826086318312]};LES BAMBINS DU MAY;2;rue des Casernes;31400
43.6332904013, 1.45879625526;{"type": "Point", "coordinates": [1.458796255263538, 43.6332904012947]};LES JARDINS DE LOUISE;3;rue de la Maourine;31200
43.6085950008, 1.37733598489;{"type": "Point", "coordinates": [1.377335984891672, 43.60859500081082]};LES PTITS LOULOUS;214;route de Bayonne;31300
43.5784304393, 1.44133646431;{"type": "Point", "coordinates": [1.441336464314053, 43.5784304393287]};EMPALOT;42;Avenue Jean Moulin;31400
